timestamp_hour_utc,representative_day_id,day_weight,it_load_kw,q_air_kw,q_cp_kw,q_rdhx_kw,s_air_kw,s_air_old_kw,s_air_new_kw,old_ac_capacity_eff_kw,q_air_to_ashp_kw,q_air_to_reject_kw,q_cp_to_wshp_kw,q_cp_to_free_kw,q_rdhx_to_wshp_kw,q_rdhx_to_chiller_kw,q_ashp_out_kw,p_ashp_kw,q_wshp_in_kw,q_wshp_out_kw,p_wshp_kw,q_chiller_evap_kw,p_chiller_kw,q_tower_kw,p_tower_kw,p_pump_kw,p_cdu_free_kw,p_terminal_kw,p_cooling_kw,p_grid_kw,q_heat_kw,heating_demand_kw,heat_demand_upper_violation_kw,q_tes_ch_kw,q_tes_dis_kw,e_tes_kwh,p_bess_ch_kw,p_bess_dis_kw,e_bess_kwh,max_theta_c,hotspot_slack_c,hotspot_penalty_yuan,bess_degradation_cost_yuan,power_balance_residual_kw,heat_balance_residual_kw
2025-01-15 00:00:00+00:00,0,71.0,2808.3800211662774,624.2891882865712,1139.6402967838276,1044.4505360958779,624.2891882865712,475.48640147728696,148.8027868092842,3252.9471371423247,555.6502056333776,68.63898265319358,835.9127315477908,303.72756523603675,1044.4505360958779,0.0,808.2184809212765,252.5682752878989,1880.3632676436687,2507.1510235248916,626.7877558812229,68.63898265319358,22.87966088439786,395.2462087736282,5.928693131604423,41.59643861211324,6.074551304720735,163.08562271803905,1118.9209978199972,3927.301018986274,3093.40746541437,3093.40746541437,0.0,221.9620390317981,0.0,1136.6852566209195,0.0,0.0,701.5639136298596,23.961295158446994,0.0,0.0,0.0,-6.821210263296962e-13,1.1368683772161603e-13
2025-01-15 01:00:00+00:00,0,71.0,2850.3519168317885,633.6703573273885,1156.5961078730081,1060.0854516313893,633.6703573273884,482.644424274283,151.02593305310543,3252.9471371423247,563.9487336870241,69.72162364036444,820.277816012279,336.3182918607291,1060.0854516313893,0.0,820.2890671811259,256.34033349410186,1880.3632676436682,2507.1510235248907,626.7877558812227,69.72162364036444,23.240541213454815,429.2804567145484,6.439206850718226,41.935554833896845,6.7263658372145825,165.53344265619404,1127.003200766803,7485.174685747888,3109.248033589689,3109.24803358969,0.0,218.19205711632776,0.0,1341.694340368189,3507.8195681492975,0.0,4029.3737505078643,23.961235916490402,0.0,0.0,0.0,-1.3642420526593924e-12,0.0
2025-01-15 02:00:00+00:00,0,71.0,2878.6567769324,638.4453410645999,1168.91137860677,1071.30005726103,638.4453410645999,487.70841061373903,150.73693045086083,3252.9471371423247,568.6937199096814,69.75162115491855,809.0632103826389,359.8481682241312,1071.30005726103,0.0,827.1908653231729,258.4971454134915,1880.3632676436687,2507.1510235248916,626.7877558812229,69.75162115491855,23.25054038497285,452.8503297640226,6.792754946460339,42.18186024857209,7.196963364482624,166.8705824953179,1131.5776027345203,6418.521188189631,3126.30873543184,3126.30873543184,0.0,208.03315341622465,0.0,1536.642447432866,2408.2868085227105,0.0,6314.0752226687355,23.961533974206915,0.0,0.0,0.0,4.547473508864641e-13,0.0
2025-01-15 03:00:00+00:00,0,71.0,2848.0398182076824,632.0386909394023,1156.4163616310898,1059.5847656371902,632.0386909394024,483.2317533143438,148.80693762505854,3252.9471371423247,562.6330612592791,69.40562968012318,820.7785020064782,335.63785962461156,1059.5847656371905,-2.2737367544323206e-13,818.3753618316787,255.74230057239959,1880.3632676436687,2507.1510235248916,626.7877558812229,69.40562968012296,23.13520989337432,428.17869919810886,6.422680487971633,41.931959909058484,6.712757192492232,165.1703135695198,1125.902977506039,3973.942795713721,3153.14539453754,3153.14539453754,0.0,172.3809908190301,0.0,1697.331103816079,0.0,0.0,6314.0752226687355,23.961643513614124,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 04:00:00+00:00,0,71.0,2876.2462463172383,639.0194743546572,1167.0830583524046,1070.1437136101772,639.0194743546572,487.71959003805136,151.29988431660578,3252.9471371423247,568.507136800372,70.51233755428518,810.2195540334916,356.863504318913,1070.1437136101772,0.0,826.919471709632,258.41233490926,1880.3632676436687,2507.1510235248916,626.7877558812229,70.51233755428518,23.50411251809506,450.8799543912932,6.7631993158693975,42.14529384348478,7.13727008637826,166.9610911110119,1131.7110576653222,4007.957303982561,4724.986163338481,4724.98616333848,9.094947017729282e-13,0.0,1390.915668103957,229.81468570954485,0.0,0.0,6314.0752226687355,23.960878929164753,0.0,0.0,0.0,4.547473508864641e-13,0.0
2025-01-15 05:00:00+00:00,0,71.0,2860.627209702743,635.053334158329,1161.1771618219027,1064.3967137225104,635.0533341583289,484.6720436661632,150.38129049216576,3252.9471371423247,565.5631028345886,69.49023132374043,815.9665539211583,345.21060790074444,1064.3967137225104,0.0,822.6372404866743,257.0741376520857,1880.3632676436687,2507.1510235248916,626.7877558812229,69.49023132374043,23.16341044124681,437.8642496657317,6.567963744985975,42.02717591287474,6.9042121580148885,165.9488072268244,1128.4734630172554,3989.100672719999,3547.6755675327854,6506.07545272263,0.0,0.0,217.88730352121948,0.0,0.0,0.0,6314.0752226687355,23.962296794879677,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2025-01-15 06:00:00+00:00,0,71.0,2891.20752532406,641.9051769806421,1173.737473706205,1075.5648746372128,641.9051769806421,490.2004041214614,151.70477285918062,3252.9471371423247,571.7248469841919,70.18032999645015,804.7983930064559,368.9390806997492,1075.564874637213,-2.2737367544323206e-13,831.5997774315518,259.87493044735993,1880.363267643669,2507.1510235248916,626.7877558812229,70.18032999644993,23.393443332149975,462.51285402834907,6.937692810425236,42.27838215056079,7.378781613994984,167.73051733695436,1134.3815035726682,4025.5890288967285,3338.7508009564435,6069.99645352609,0.0,0.0,0.0,0.0,0.0,0.0,6314.0752226687355,23.9623751435724,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2025-01-15 07:00:00+00:00,0,71.0,2991.1255254053904,660.4335444018735,1215.357019965717,1115.3349610377998,660.4335444018735,504.83308118655253,155.60046321532096,3252.9471371423247,589.8567756489583,70.5767687529152,765.0283066058687,450.3287133598483,1115.3349610377998,0.0,857.9734918530303,268.11671620407196,1880.3632676436685,2507.151023524891,626.7877558812228,70.5767687529152,23.525589584305067,544.4310716970685,8.166466075456029,43.11077307575103,9.006574267196966,172.81383513814797,1151.5277102261516,4142.653235631542,3365.1245153779214,4844.12799534811,0.0,0.0,0.0,0.0,0.0,0.0,6314.0752226687355,23.96206912988417,0.0,0.0,0.0,0.0,0.0
2025-01-15 08:00:00+00:00,0,71.0,2944.9752679612047,649.1972358496614,1196.8827957620178,1098.8952363495266,649.1972358496615,496.29282560008323,152.90441024957826,3252.9471371423247,580.3244298414733,68.87280600818815,781.4680312941421,415.4147644678758,1098.8952363495266,0.0,844.1082615875974,263.7838317461242,1880.3632676436687,2507.1510235248916,626.7877558812229,68.87280600818815,22.957602002729384,507.24517247879334,7.6086775871819,42.74128859167705,8.308295289357515,169.94406231349646,1142.1315134117895,4087.1067813729937,3351.259285112489,4309.37483658353,0.0,0.0,0.0,0.0,0.0,0.0,6314.0752226687355,23.96297375136113,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 09:00:00+00:00,0,71.0,2856.3171736067093,631.9782285155471,1159.377457854978,1064.9614872361838,631.9782285155471,481.02837337342083,150.9498551421263,3252.9471371423247,563.8726810011362,68.10554751441089,815.4017804074849,343.9756774474931,1064.9614872361838,0.0,820.1784450925618,256.30576409142554,1880.3632676436687,2507.1510235248916,626.7877558812229,68.10554751441089,22.701849171470297,434.7830741333743,6.521746112000614,41.991181833536245,6.879513548949863,165.3036916783386,1126.491502316944,3982.8086759236535,1836.2471287295198,1836.24712872952,0.0,1491.0823398879334,0.0,1416.5282228935366,0.0,0.0,6314.0752226687355,23.96243741058955,0.0,0.0,0.0,2.2737367544323206e-13,0.0
