timestamp_hour_utc,representative_day_id,day_weight,it_load_kw,q_air_kw,q_cp_kw,q_rdhx_kw,s_air_kw,s_air_old_kw,s_air_new_kw,old_ac_capacity_eff_kw,q_air_to_ashp_kw,q_air_to_reject_kw,q_cp_to_wshp_kw,q_cp_to_free_kw,q_rdhx_to_wshp_kw,q_rdhx_to_chiller_kw,q_ashp_out_kw,p_ashp_kw,q_wshp_in_kw,q_wshp_out_kw,p_wshp_kw,q_chiller_evap_kw,p_chiller_kw,q_tower_kw,p_tower_kw,p_pump_kw,p_cdu_free_kw,p_terminal_kw,p_cooling_kw,p_grid_kw,q_heat_kw,heating_demand_kw,heat_demand_upper_violation_kw,q_tes_ch_kw,q_tes_dis_kw,e_tes_kwh,p_bess_ch_kw,p_bess_dis_kw,e_bess_kwh,max_theta_c,hotspot_slack_c,hotspot_penalty_yuan,bess_degradation_cost_yuan,power_balance_residual_kw,heat_balance_residual_kw
2025-01-30 00:00:00+00:00,0,66.0,2837.291468201433,923.650752012685,1850.8346665099834,62.80604967876428,923.650752012685,571.1179124971854,352.5328395154995,3321.5023742070225,793.2148570757073,130.43589493697766,2.9497125462905786e-12,1850.8346665099805,62.80604967876428,0.0,1153.7670648373926,360.55220776168517,62.80604967876723,83.74139957168964,20.93534989292241,130.43589493697766,43.47863164565922,2024.7491930926174,30.37123789638926,37.64475382698735,37.01669333019961,223.7095229738082,753.7083973276513,3590.999865529084,1237.5084644090823,3219.22382502416,0.0,0.0,0.0,0.0,0.0,0.0,576.2484372023363,23.985995576265967,0.0,0.0,0.0,0.0,0.0
2025-01-30 01:00:00+00:00,0,66.0,2811.291148338461,915.782133925712,1833.2964075805448,62.212606832202454,915.7821339257121,565.6623375337482,350.11979639196386,3321.5023742070225,785.6984603916621,130.0836735340498,0.0,1833.2964075805448,62.212606832202454,0.0,1142.834124206054,357.1356638143918,62.212606832202454,82.9501424429366,20.73753561073415,130.0836735340498,43.36122451134994,2006.7413056259445,30.101119584389167,37.288054219932924,36.6659281516109,221.78298771318214,747.072513605591,3558.3636619440517,1225.7842666489905,3277.57292616957,0.0,0.0,0.0,0.0,0.0,0.0,576.2484372023363,23.98563852333473,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2025-01-30 02:00:00+00:00,0,66.0,2819.105058034541,918.7909044412568,1838.8713109382168,61.442842655068354,918.7909044412568,567.089762876172,351.70114156508475,3321.5023742070225,788.0877046878074,130.70319975344933,0.0,1838.8713109382168,61.442842655068354,0.0,1146.3093886368108,358.22168394900336,61.442842655068354,81.9237902067578,20.48094755168945,130.70319975344933,43.567733251149775,2013.1422439428159,30.19713365914224,37.391854645315014,36.77742621876433,222.427971904462,749.0647511795261,3568.1698092140678,1228.2331788435686,3350.47819276152,0.0,0.0,0.0,0.0,0.0,0.0,576.2484372023363,23.982120615212274,0.0,0.0,0.0,7.958078640513122e-13,0.0
2025-01-30 03:00:00+00:00,0,66.0,2803.0722391605236,914.0297041588976,1827.8096530471032,61.23288195452353,914.0297041588976,563.5056790674668,350.5240250914309,3321.5023742070225,783.3469941630443,130.68270999585332,0.0,1827.8096530471032,61.23288195452353,0.0,1139.4138096917009,356.0668155286565,61.23288195452353,81.64384260603137,20.410960651507843,130.68270999585332,43.5609033319511,2002.0532663749077,30.030798995623613,37.1685218804873,36.556193060942064,221.24366374817174,745.0378571973401,5526.221402804553,1221.0576522977321,3424.45119305147,0.0,0.0,0.0,0.0,1978.1113064466895,0.0,2452.8495953131924,23.981135701059728,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-30 04:00:00+00:00,0,66.0,2818.2087153841603,918.5564129594322,1838.4316385444272,61.220663880301814,918.5564129594322,566.4022524113251,352.1541605481071,3321.5023742070225,787.8992736618975,130.65713929753474,0.0,1838.4316385444272,61.220663880301814,0.0,1146.0353071445782,358.13603348268066,61.220663880301814,81.62755184040242,20.406887960100605,130.65713929753474,43.55237976584491,2012.641157607807,30.1896173641171,37.38083940969156,36.768632770888544,222.33048571360663,748.76487646693,6448.215777862771,1227.6628589849806,5074.25305785225,0.0,0.0,0.0,0.0,2881.242186011681,0.0,5186.235934821026,23.981656063926327,0.0,0.0,0.0,-9.094947017729282e-13,0.0
2025-01-30 05:00:00+00:00,0,66.0,2796.4623028695482,911.2186658250321,1824.3510520876562,60.892584956858485,911.2186658250321,560.7056734260473,350.51299239898486,3321.5023742070225,781.8647366089957,129.35392921603636,1.4748562731452893e-12,1824.3510520876548,60.892584956858485,0.0,1137.2577987039938,355.393062094998,60.89258495685996,81.19011327581327,20.29752831895332,129.35392921603636,43.11797640534545,1996.8229577090367,29.95234436563555,37.095946891321724,36.487021041753096,220.47869689872425,742.8225760167314,3539.284878886279,1218.447911979807,7175.01322351412,0.0,0.0,0.0,0.0,0.0,0.0,5186.235934821026,23.982072590303236,0.0,0.0,0.0,-7.958078640513122e-13,0.0
2025-01-30 06:00:00+00:00,0,66.0,2839.669267894365,926.3710850620438,1851.036115428231,62.26206740409153,926.3710850620437,570.4727460318406,355.8983390302031,3321.5023742070225,793.3011923263848,133.06989273565898,1.4748562731452893e-12,1851.0361154282296,62.26206740409153,0.0,1153.8926433838326,360.59145105744767,62.26206740409301,83.01608987212401,20.754022468031003,133.06989273565898,44.35663091188633,2028.4626390757749,30.426939586136623,37.64334298260555,37.020722308564594,224.1801746031832,754.973283917855,3594.6425518122196,1236.9087332559566,6830.12859379895,0.0,0.0,0.0,0.0,0.0,0.0,5186.235934821026,23.978240830573654,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-30 07:00:00+00:00,0,66.0,2968.4064399077884,969.3279059708959,1934.2297331109344,64.84880082595589,969.3279059708959,597.8033669308318,371.52453904006416,3321.5023742070225,828.9555999046863,140.3723060662096,1.4748562731452893e-12,1934.229733110933,64.84880082595589,0.0,1205.7535998613619,376.79799995667554,64.84880082595737,86.46506776794315,21.61626694198579,140.3723060662096,46.790768688736534,2121.392807865879,31.820892117988187,39.33308267047826,38.684594662218664,234.61840414322313,789.6620091813061,2265.8924918882426,1292.218667629305,5663.16442841657,0.0,0.0,0.0,0.0,0.0,1492.1759572008518,3613.3443699888185,23.97525653666936,0.0,0.0,0.0,0.0,0.0
2025-01-30 08:00:00+00:00,0,66.0,3021.9030784233887,986.2473023606797,1969.7755538300646,65.8802222326444,986.2473023606797,608.1140334063741,378.1332689543056,3321.5023742070225,844.1895230700279,142.05777929065175,0.0,1969.7755538300646,65.8802222326444,0.0,1227.9120335564044,383.72251048637634,65.8802222326444,87.84029631019253,21.960074077548132,142.05777929065175,47.352593096883915,2159.1859262176004,32.387788893264,40.05431329892774,39.395511076601295,238.70920071728858,803.5819916468901,944.2428840585972,1315.752329866597,5011.85628625748,0.0,0.0,0.0,0.0,0.0,2881.242186011681,576.2484372023363,23.97578894705288,0.0,0.0,0.0,-5.684341886080801e-13,0.0
2025-01-30 09:00:00+00:00,0,66.0,3002.5329056780597,980.2016106422127,1956.3503137426296,65.98098129321875,980.2016106422127,603.8876576232951,376.3139530189175,3321.5023742070225,838.4358487468414,141.76576189537127,0.0,1956.3503137426296,65.98098129321875,0.0,1219.5430527226786,381.107203975837,65.98098129321875,87.97464172429166,21.993660431072914,141.76576189537127,47.25525396512376,2145.3713296031247,32.180569944046866,39.78681608778478,39.12700627485259,237.248245460067,798.6987561387848,3801.2316618168447,1307.5176944469702,2152.95611156432,0.0,0.0,0.0,0.0,0.0,0.0,576.2484372023363,23.976630848365463,0.0,0.0,0.0,2.2737367544323206e-13,0.0
