solution_class,count,unique_config_signatures,tlcc_mean,tlcc_std,tlcc_min,tlcc_max,tce_mean,tce_std,tce_min,tce_max,soft_violation_kg_mean,soft_violation_kg_std,soft_violation_kg_min,soft_violation_kg_max,sum_cap_ac_new_kw_mean,sum_cap_ac_new_kw_std,sum_cap_ac_new_kw_min,sum_cap_ac_new_kw_max,sum_cap_rdhx_kw_mean,sum_cap_rdhx_kw_std,sum_cap_rdhx_kw_min,sum_cap_rdhx_kw_max,sum_cap_cdu_kw_mean,sum_cap_cdu_kw_std,sum_cap_cdu_kw_min,sum_cap_cdu_kw_max,cap_ashp_kw_mean,cap_ashp_kw_std,cap_ashp_kw_min,cap_ashp_kw_max,cap_wshp_kw_mean,cap_wshp_kw_std,cap_wshp_kw_min,cap_wshp_kw_max,cap_bess_mean,cap_bess_std,cap_bess_min,cap_bess_max,cap_tes_mean,cap_tes_std,cap_tes_min,cap_tes_max,delta_cap_chiller_kw_mean,delta_cap_chiller_kw_std,delta_cap_chiller_kw_min,delta_cap_chiller_kw_max,delta_cap_tower_kw_mean,delta_cap_tower_kw_std,delta_cap_tower_kw_min,delta_cap_tower_kw_max,new_air_zone_count_mean,new_air_zone_count_std,new_air_zone_count_min,new_air_zone_count_max,cold_plate_zone_count_mean,cold_plate_zone_count_std,cold_plate_zone_count_min,cold_plate_zone_count_max,rdhx_zone_count_mean,rdhx_zone_count_std,rdhx_zone_count_min,rdhx_zone_count_max,ashp_zone_count_mean,ashp_zone_count_std,ashp_zone_count_min,ashp_zone_count_max,wshp_zone_count_mean,wshp_zone_count_std,wshp_zone_count_min,wshp_zone_count_max,annualized_capex_yuan_per_year_mean,annualized_capex_yuan_per_year_std,annualized_capex_yuan_per_year_min,annualized_capex_yuan_per_year_max,operating_cost_yuan_per_year_mean,operating_cost_yuan_per_year_std,operating_cost_yuan_per_year_min,operating_cost_yuan_per_year_max,weight_soft_penalty_cost_yuan_per_year_mean,weight_soft_penalty_cost_yuan_per_year_std,weight_soft_penalty_cost_yuan_per_year_min,weight_soft_penalty_cost_yuan_per_year_max,annualized_embodied_kg_per_year_mean,annualized_embodied_kg_per_year_std,annualized_embodied_kg_per_year_min,annualized_embodied_kg_per_year_max,operating_carbon_kg_per_year_mean,operating_carbon_kg_per_year_std,operating_carbon_kg_per_year_min,operating_carbon_kg_per_year_max,weight_soft_penalty_carbon_kg_per_year_mean,weight_soft_penalty_carbon_kg_per_year_std,weight_soft_penalty_carbon_kg_per_year_min,weight_soft_penalty_carbon_kg_per_year_max
dominated,3795,3793,89158795.97689681,22937679.76410532,37521671.61147167,184545012.728506,12338900.073477853,975590.4721027571,10505513.916258058,15827080.471354064,122514.93174966688,43100.8665240311,24311.741120684183,304811.5919850322,25797.196812370432,9081.504520729315,1068.1181567610404,70972.17585012961,12140.215100810412,5629.728522216994,0.0,39253.202338819254,18743.957320701156,6729.7552151165355,1780.5528359680034,57451.19536835651,12132.242882486526,6138.43020210441,49.78934728269824,19968.83910583659,11063.858333109521,5953.621111155189,416.8843443802372,19977.453285588675,8814.343700500547,11738.393268754851,1.5295030147477462,39811.634145290445,17958.087444391716,9764.302317921922,565.5265554637446,39967.575497952115,6849.070711144904,5463.530245921444,18.30024722363488,19999.334946346513,9617.293750811052,5941.217988101958,55.00102149859354,24970.034558131578,13.089855072463768,3.147174294442885,3.0,25.0,9.159947299077734,2.5018523830086825,2.0,18.0,5.9488801054018445,2.1704739675609575,0.0,16.0,13.875889328063241,2.5581276025574797,5.0,23.0,15.108827404479579,3.0032943827393814,5.0,24.0,10841224.617118893,1963257.9894456845,5283551.119331879,17392835.78541426,17060105.484944463,1781564.1869151525,10746076.51172138,20971526.53152223,61257465.87483344,21550433.26201555,12155870.560342092,152405795.9925161,387968.9430364318,109617.19204126744,131170.27287681034,778186.4201024185,11950931.130441416,909405.0299296331,10145200.399012655,15235296.276358124,0.0,0.0,0.0,0.0
pareto,8,8,53257586.92980302,16117394.617396018,35982067.859188035,84437752.74605268,11161822.659711512,697647.6879945154,10469270.869120743,12472597.894218069,55169.165523992735,31136.095253230964,20654.25651426184,114964.10850234292,11017.912076035862,3578.875542850489,4568.601941848763,15783.687207729447,11192.685835324732,4408.3140256606275,6543.786586894171,19583.65687283996,17038.52865189666,8658.538576149886,5542.802170523284,33878.97139499095,13777.094495167066,5164.176449581765,4219.486928418539,18001.82556287365,9462.290296524894,4748.944474592724,3311.021564161254,18161.71515453715,1600.4643270199797,3052.931471745572,83.5849274156697,9537.487472059722,22926.81323909798,10792.597129779086,10030.527513910576,36431.53863867851,3451.851910292269,3642.7352834606804,1156.3220812949448,12759.047424409504,11323.614929192721,5347.615049733469,5250.120970639974,21104.91309019105,8.625,1.7275343701356567,6.0,11.0,10.625,3.3517719194479807,6.0,15.0,7.625,1.996089927833914,4.0,10.0,14.125,2.7128168017763383,9.0,19.0,18.25,4.351723796382303,11.0,24.0,8668133.38293217,1636633.8611529013,6309469.701372531,11466283.800010402,17004870.784874488,1324907.9784432407,15679524.81229832,19345469.900684584,27584582.761996366,15568047.626615483,10327128.25713092,57482054.25117147,232213.53479255736,44438.38237658663,181304.0111877024,309673.4153191618,10929609.124918956,720727.197069309,10159597.453801582,12291293.883030366,0.0,0.0,0.0,0.0
