timestamp_hour_utc,representative_day_id,day_weight,it_load_kw,q_air_kw,q_cp_kw,q_rdhx_kw,s_air_kw,q_air_to_ashp_kw,q_air_to_reject_kw,q_cp_to_wshp_kw,q_cp_to_free_kw,q_rdhx_to_wshp_kw,q_rdhx_to_chiller_kw,q_ashp_out_kw,p_ashp_kw,q_wshp_in_kw,q_wshp_out_kw,p_wshp_kw,q_chiller_evap_kw,p_chiller_kw,q_tower_kw,p_tower_kw,p_pump_kw,p_cdu_free_kw,p_terminal_kw,p_cooling_kw,p_grid_kw,q_heat_kw,q_heat_unserved_kw,q_tes_ch_kw,q_tes_dis_kw,e_tes_kwh,p_bess_ch_kw,p_bess_dis_kw,e_bess_kwh,max_theta_c,hotspot_slack_c,hotspot_penalty_yuan,heat_unserved_penalty_yuan,bess_degradation_cost_yuan,power_balance_residual_kw,heat_balance_residual_kw
2025-01-15 00:00:00+00:00,0,70.0,558.7860315656566,175.75478952020205,383.0312420454545,0.0,175.75478952020197,175.754789520202,0.0,347.10141872919655,35.929823316257966,0.0,0.0,255.64333021120294,79.88854069100091,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,35.929823316257966,0.5389473497438695,11.131639028201056,0.7185964663251594,37.55879852046716,245.5369949654703,804.3230265311269,718.4452218501317,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.639785854280323,0.0,0.0,0.0,0.0,-2.842170943040401e-14,0.0
2025-01-15 01:00:00+00:00,0,70.0,567.1325940170941,178.39014273504276,388.7424512820512,0.0,178.39014273504262,178.39014273504276,0.0,347.10141872919655,41.641032552854654,0.0,0.0,259.47657125097123,81.0864285159285,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,41.641032552854654,0.6246154882928198,11.24586321293299,0.8328206510570931,38.1219735024786,247.61217428042218,814.7447682975163,722.2784628899,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.63461819839126,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0
2025-01-15 02:00:00+00:00,0,70.0,572.756701324189,180.14571664725676,392.61098467693233,0.0,180.14571664725665,180.14571664725676,0.0,347.10141872919655,45.50956594773578,0.0,0.0,262.0301333051007,81.88441665784397,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,45.50956594773578,0.6826434892160367,11.323233880830612,0.9101913189547156,38.49713964751874,248.99809790409623,821.7547992282853,724.8320249440294,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.63475646656867,0.0,0.0,0.0,0.0,8.526512829121202e-14,0.0
2025-01-15 03:00:00+00:00,0,70.0,566.6574103535354,178.31686313131314,388.3405472222222,0.0,178.31686313131306,178.31686313131314,0.0,347.10141872919655,41.239128493025646,0.0,0.0,259.3699827364555,81.05311960514234,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,41.239128493025646,0.6185869273953847,11.23782513173641,0.8247825698605129,38.1063136511616,247.5411007950284,814.1985111485639,722.1718743753843,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.63770556403014,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
2025-01-15 04:00:00+00:00,0,70.0,572.2605287356321,180.1033197318008,392.1572090038314,0.0,180.10331973180078,180.1033197318008,0.0,347.1014187291965,45.05579027463489,0.0,0.0,261.96846506443757,81.86514533263674,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,45.05579027463489,0.6758368541195233,11.314158367368595,0.9011158054926978,38.48807942668582,248.94480869603558,821.2053374316677,724.7703567033664,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.634548334126013,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15 05:00:00+00:00,0,70.0,569.1438808268199,178.9791025196509,390.16477830716883,0.0,178.97910251965084,178.9791025196509,0.0,347.10141872919655,43.063359577972335,0.0,0.0,260.33324002858313,81.35413750893223,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,43.063359577972335,0.645950393669585,11.274309753435343,0.8612671915594468,38.24783420844938,248.08397196577818,836.3913990715106,723.1351316675118,0.0,0.0,0.0,0.0,19.163546278912534,0.0,20.45265332200019,23.635961315892278,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0
2025-01-15 06:00:00+00:00,0,70.0,575.2209285714287,180.8716619047619,394.34926666666667,0.0,180.87166190476185,180.8716619047619,0.0,347.1014187291966,47.247847937470056,0.0,0.0,263.0860536796537,82.21439177489177,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,47.247847937470056,0.7087177190620508,11.357999520625299,0.9449569587494011,38.65227414904761,249.5788130321083,824.7997416035369,725.8879453185824,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.63072992159977,0.0,0.0,0.0,0.0,-8.526512829121202e-14,0.0
2025-01-15 07:00:00+00:00,0,70.0,595.0878313492063,186.88911552429056,408.1987158249158,0.0,186.88911552429047,186.8891155242906,0.0,347.10141872919655,61.09729709571923,0.0,0.0,271.8387134898772,84.94959796558662,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,61.09729709571923,0.9164594564357884,11.63498850379028,1.2219459419143845,39.938203987540874,254.36166876500013,849.4495001142063,734.6406051288059,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.630512845698963,0.0,0.0,0.0,0.0,-1.4210854715202004e-13,0.0
2025-01-15 08:00:00+00:00,0,70.0,585.8920697959447,183.92265704989458,401.96941274605024,0.0,183.9226570498945,183.92265704989458,0.0,347.10141872919655,54.867994016853686,0.0,0.0,267.52386479984665,83.60120774995208,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,54.867994016853686,0.8230199102528053,11.51040244221297,1.0973598803370737,39.304271811562444,252.0367347040496,837.9288044999943,730.3257564387754,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.639667504235618,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
2025-01-15 09:00:00+00:00,0,70.0,568.2448662982006,178.4946373382906,389.7502289599099,0.0,178.4946373382905,178.49463733829057,0.0,347.10141872919655,42.64881023071338,0.0,0.0,259.6285634011499,81.13392606285935,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,42.64881023071338,0.6397321534607007,11.266018766490165,0.8529762046142675,38.14430399919267,247.73743009634933,815.98229639455,722.4304550400786,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.64697985362236,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0
2025-01-15 10:00:00+00:00,0,70.0,581.0144916006232,182.40799290455874,398.6064986960644,0.0,182.40799290455865,182.40799290455874,0.0,347.10141872919655,51.50507996686787,0.0,0.0,265.32071695208543,82.9127240475267,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,51.50507996686787,0.772576199503018,11.443144161213255,1.0301015993373575,38.980588083704184,250.8396070010167,831.8540986016399,728.1226085910141,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.645876000900227,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15 11:00:00+00:00,0,70.0,573.8076919609014,180.2010504730001,393.6066414879013,0.0,180.20105047300004,180.2010504730001,0.0,347.1014187291966,46.50522275870469,0.0,0.0,262.1106188698183,81.90956839681823,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,46.50522275870469,0.6975783413805703,11.34314701704999,0.9301044551740938,38.5089644860801,249.08983560623523,822.8975275671365,724.9125105087471,0.0,0.0,0.0,0.0,0.0,0.0,20.45265332200019,23.652291084963288,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0
2025-01-15 12:00:00+00:00,0,70.0,567.6426806659601,178.1729821409645,389.4696985249955,0.0,178.1729821409644,178.1729821409645,0.0,347.1014187291965,42.368279795799026,0.0,0.0,259.1607012959484,80.98771915498388,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,42.368279795799026,0.6355241969369854,11.260408157791877,0.8473655959159805,38.07556628352409,247.507056298885,797.9025453138239,721.9625929348772,0.0,0.0,0.0,0.0,0.0,17.247191651021286,2.272517035777799,23.657758641734077,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15 13:00:00+00:00,0,70.0,588.7972485966046,185.09727445395166,403.699974142653,0.0,185.0972744539515,185.09727445395166,0.0,347.10141872919655,56.59855541345644,0.0,0.0,269.23239920574787,84.13512475179621,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,56.59855541345644,0.8489783312018465,11.545013670145025,1.1319711082691288,39.55528755080944,252.9168483219538,841.7140969185584,732.0342908446767,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.647298067782405,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15 14:00:00+00:00,0,70.0,534.8794444444445,168.02943333333334,366.8500111111111,0.0,168.02943333333326,168.02943333333337,0.0,347.10141872919655,19.748592381914534,0.0,0.0,244.40644848484854,76.37701515151517,347.10141872919655,462.80189163892874,115.70047290973218,0.0,0.0,19.748592381914534,0.296228885728718,10.808014409514188,0.3949718476382907,35.90788990333331,239.48459310746185,774.3640375519063,707.2083401237772,0.0,0.0,0.0,0.0,0.0,0.0,2.272517035777799,23.67644562466464,0.0,0.0,0.0,0.0,-2.842170943040401e-14,0.0
