hour,rack_it_000_kw,rack_it_001_kw,rack_it_002_kw,rack_it_003_kw,rack_it_004_kw,rack_it_005_kw,rack_it_006_kw,rack_it_007_kw,rack_it_008_kw,rack_it_009_kw,rack_it_010_kw,rack_it_011_kw,rack_it_012_kw,rack_it_013_kw,rack_it_014_kw,rack_it_015_kw,rack_it_016_kw,rack_it_017_kw,rack_it_018_kw,rack_it_019_kw,rack_it_020_kw,rack_it_021_kw,rack_it_022_kw,rack_it_023_kw,rack_it_024_kw,rack_it_025_kw,rack_it_026_kw,rack_it_027_kw,rack_it_028_kw,rack_it_029_kw,rack_it_030_kw,rack_it_031_kw,rack_it_032_kw,rack_it_033_kw,rack_it_034_kw,rack_it_035_kw,rack_it_036_kw,rack_it_037_kw,rack_it_038_kw,rack_it_039_kw,rack_it_040_kw,rack_it_041_kw,rack_it_042_kw,rack_it_043_kw,rack_it_044_kw,rack_it_045_kw,rack_it_046_kw,rack_it_047_kw,rack_it_048_kw,it_total_kw
2020-03-09 11:00:00+00:00,0.0,0.0,0.0,0.0,4.709047619047619,4.011904761904762,5.1866666666666665,4.562857142857143,7.518452380952381,6.281190476190476,4.976666666666667,6.288571428571428,3.177142857142857,6.072261904761905,6.803333333333333,6.900476190476191,6.445714285714286,6.451904761904762,6.215238095238095,6.487619047619048,4.969047619047619,4.604285714285714,5.14,4.865,5.226785714285715,6.7542857142857144,5.497142857142857,4.828571428571428,5.05047619047619,6.2490476190476185,6.47,4.989047619047619,5.904285714285714,4.757857142857143,6.351904761904762,5.927023809523809,5.504166666666666,4.857738095238095,6.4383333333333335,5.667619047619048,6.37952380952381,7.392380952380952,5.3082142857142856,5.544047619047619,6.436428571428571,7.19,5.521428571428571,6.686190476190476,5.136666666666667,257.7365476190476
2020-03-09 12:00:00+00:00,6.448919765857859,6.854213199565756,7.43628100202365,5.814242659932682,6.2907618634916425,4.000070364619101,6.390073239589852,6.1924720410997995,8.35449984939991,7.446884911196621,6.226184484303264,7.086152473661069,7.177764666616269,8.386639494137887,7.600950689232613,6.907254346302096,6.822945077306421,6.863903304934237,7.042247244441617,6.876311959588949,6.171678644654314,6.136483303602839,5.557426448519456,6.912969268022139,6.800280509558191,8.004284622756398,6.690306519255463,6.775338117195627,7.424476261159004,6.623535557591001,7.234509779752733,5.78819374099239,8.292873592974326,6.868748755200863,7.970306280803789,7.539980060857608,7.081794606557702,6.083086776155609,7.673328975387609,7.350707690176897,6.7721290517111825,8.177791378673472,6.852015420627503,6.726807244702187,7.980138642471845,7.971890194965512,7.434431212431181,7.060404545788512,7.895363023562968,342.07005286340967
2020-03-09 13:00:00+00:00,6.447555555555555,6.854222222222222,6.851222222222222,5.811,6.289444444444444,4.001555555555555,5.815888888888889,5.595111111111111,7.782555555555555,7.443555555555555,5.632666666666666,7.090777777777777,7.176333333333333,7.835444444444444,7.598,6.909222222222222,6.822333333333333,6.863333333333333,7.041222222222222,6.882222222222222,6.173222222222222,6.140888888888888,5.557111111111111,6.924777777777778,6.808222222222222,8.008777777777777,6.691333333333333,6.778444444444444,7.426222222222222,6.627666666666666,7.243111111111111,5.792666666666666,7.739333333333334,6.252888888888888,7.971666666666667,7.545999999999999,7.094444444444444,6.086222222222222,7.676111111111111,7.350777777777777,6.777444444444444,8.176777777777778,6.851222222222222,6.724888888888889,7.986333333333333,7.976333333333333,7.434333333333333,7.060444444444444,7.307222222222221,336.9285555555556
2020-03-09 14:00:00+00:00,18.81448599439776,19.21709010270775,19.63497385620915,17.486094304388423,18.672664332399627,11.902845471521942,16.45299066293184,16.84862558356676,22.75594117647059,21.88990943043884,15.530936507936508,22.061396825396823,21.273333333333333,22.259238095238096,22.218761904761905,19.976111111111113,20.006920634920636,20.245190476190476,7.120079365079365,6.79515873015873,6.052063492063492,6.034507936507937,5.443698412698413,6.749,6.700434027777778,7.806669306835637,6.56984126984127,6.608460317460317,7.264079365079365,6.452301587301587,7.059152777777777,5.679729166666666,7.384870535714286,16.928913498463903,22.024244047619046,20.808103174603175,19.732254464285713,16.50193402777778,21.04203817844342,20.280906746031746,18.6064126984127,22.19731746031746,18.873047619047618,18.49211111111111,21.762333333333334,21.71969246031746,19.97430158730159,19.56511111111111,19.834396825396826,765.3106744384582
2020-03-09 15:00:00+00:00,6.022222222222222,6.3021111111111106,6.209333333333333,5.449666666666666,5.8631111111111105,3.7317777777777774,5.160333333333333,4.982444444444444,7.009444444444444,6.844444444444444,4.956777777777777,6.637333333333333,6.7268888888888885,7.061888888888888,7.078444444444444,6.400444444444444,6.341666666666666,6.419999999999999,7.049444444444444,6.859111111111111,6.135777777777777,6.114222222222222,5.547333333333333,6.888333333333333,6.781666666666666,7.957111111111111,6.675222222222222,6.739888888888888,7.384222222222222,6.608444444444444,7.192444444444444,5.762,7.896888888888888,5.605222222222221,7.390222222222222,6.983555555555555,6.541777777777777,5.622999999999999,7.111666666666666,6.802333333333333,6.290333333333333,7.544,6.3182222222222215,6.190999999999999,7.40811111111111,7.407444444444444,6.907555555555556,6.575222222222222,6.540444444444444,318.03055555555557
2020-03-09 16:00:00+00:00,12.912034429662478,13.162032652307042,13.378669191919192,11.756131313131313,12.569777777777778,8.01288888888889,11.127444444444444,11.121444444444444,15.289666666666667,14.812222222222221,10.461666666666666,14.478111111111112,14.349444444444444,15.133,15.099,13.630666666666666,13.548333333333334,13.705666666666668,16.275333333333332,15.684,13.857444444444445,13.818888888888889,12.410222222222222,15.196444444444445,15.174,17.76111111111111,15.045111111111112,14.880777777777778,16.495,14.723777777777777,15.922333333333333,13.067444444444444,17.64188888888889,12.149111111111111,15.912222222222223,14.996,14.114555555555555,11.954888888888888,15.194555555555556,14.608,13.431666666666667,16.053333333333335,13.642777777777777,13.368666666666666,15.759555555555556,15.746777777777778,14.503333333333334,14.19511111111111,14.40088888888889,692.5334231425757
2020-03-09 17:00:00+00:00,18.452555555555556,18.540222222222223,19.180333333333333,16.942555555555558,18.025111111111112,11.405444444444445,15.992555555555555,16.025333333333332,22.15822222222222,21.642555555555557,15.051444444444444,20.742444444444445,20.570333333333334,21.729444444444447,21.778,19.50477777777778,19.526222222222223,19.757666666666665,23.657333333333334,22.56688888888889,19.952777777777776,19.867333333333335,17.84488888888889,21.69022222222222,21.764666666666667,25.41711111111111,21.62977777777778,21.310000000000002,23.497888888888887,21.077222222222222,22.82911111111111,18.846333333333334,25.369222222222223,17.469666666666665,22.699555555555555,21.483444444444444,20.295333333333332,17.09411111111111,21.747888888888887,20.794999999999998,19.323555555555558,23.13711111111111,19.613,19.407555555555557,22.575333333333333,22.557111111111112,20.843333333333334,20.526333333333334,20.877333333333333,994.7916666666667
2020-03-09 18:00:00+00:00,21.585555555555555,21.54588888888889,22.258666666666667,19.601111111111113,20.775222222222222,13.298,18.49088888888889,18.39211111111111,25.417333333333332,25.203333333333333,17.36788888888889,23.938111111111112,23.836666666666666,25.315444444444445,25.407666666666668,22.912,22.785333333333334,22.958111111111112,27.44222222222222,26.181333333333335,23.04122222222222,23.134444444444444,20.574666666666666,25.141111111111112,25.150666666666666,29.32022222222222,24.979888888888887,24.44522222222222,27.13011111111111,24.262888888888888,26.22888888888889,21.769333333333332,29.262666666666668,20.889555555555553,26.988555555555557,25.667666666666666,24.250777777777778,20.307666666666666,25.81822222222222,24.859333333333332,22.80211111111111,27.35988888888889,23.419444444444444,22.729,26.64011111111111,26.69988888888889,24.539555555555555,24.254,24.90688888888889,1161.2868888888888
2020-03-09 19:00:00+00:00,18.012333333333334,18.05311111111111,18.589111111111112,16.29588888888889,17.368555555555556,11.020555555555555,15.387222222222222,15.354444444444445,21.16788888888889,20.869222222222223,14.501111111111111,19.918666666666667,19.825666666666667,21.05922222222222,21.157111111111114,18.984111111111112,18.875444444444444,19.081777777777777,22.81588888888889,21.873555555555555,19.333333333333336,19.320555555555554,17.289,21.177555555555557,21.051555555555556,24.54266666666667,21.003222222222224,20.553333333333335,22.692666666666668,20.27711111111111,21.991444444444443,18.20488888888889,24.565555555555555,17.24422222222222,22.248555555555555,21.275555555555556,20.02,16.83277777777778,21.369666666666667,20.538888888888888,18.961444444444442,22.709333333333333,19.354222222222223,18.811333333333334,22.051666666666666,22.14911111111111,20.32177777777778,20.091666666666665,20.47,966.664
2020-03-09 20:00:00+00:00,18.484666666666666,18.564333333333334,19.130444444444443,16.778,17.951777777777778,11.489888888888888,15.913777777777778,15.758,21.884444444444444,21.590333333333334,14.93611111111111,20.578777777777777,20.670333333333332,21.709444444444443,22.015888888888888,19.62088888888889,19.38588888888889,19.595,23.266666666666666,22.424666666666667,19.707555555555555,19.766666666666666,17.616666666666667,21.507666666666665,21.554,25.109111111111112,21.427333333333333,21.022666666666666,23.304666666666666,20.825777777777777,22.496444444444442,18.687,25.264,17.640333333333334,22.853666666666665,21.76388888888889,20.57166666666667,17.256666666666668,21.916999999999998,21.11188888888889,19.433,23.211333333333332,19.86488888888889,19.51711111111111,22.69511111111111,22.777555555555555,20.943777777777775,20.564999999999998,21.21711111111111,993.3788888888888
