Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 05 9:00,6163.43256539769,0,2422.07513149435
Year 1 Jan 05 10:00,2716.29609099425,0,2185.95929338831
Year 1 Jan 05 11:00,0,0,402.311502698136
Year 1 Jan 05 12:00,0,0,402.311502698136
Year 1 Jan 05 13:00,0,0,402.311502698136
Year 1 Jan 05 14:00,0,0,402.311502698136
Year 1 Jan 05 15:00,1847.18396781668,0,402.311502698136
Year 1 Jan 05 16:00,1769.43820000963,0,402.311502698136
Year 1 Jan 05 17:00,3256.87429535026,0,677.720851919031
Year 1 Jan 05 18:00,5062.62404617774,0,753.670037964219
Year 1 Jan 05 19:00,4894.95957766221,0,1007.48857692571
Year 1 Jan 05 20:00,4589.82905774041,0,2106.0735031692
Year 1 Jan 05 21:00,7812.22230095029,0,2182.02268921439
Year 1 Jan 05 22:00,7636.94583635281,0,2103.41656094939
Year 1 Jan 05 23:00,6362.84979182199,0,1677.06716828345
Year 1 Jan 06 0:00,3484.86614614312,0,189.450239483545
Year 1 Jan 06 1:00,3658.04953248827,0,73.2926104169826
Year 1 Jan 06 2:00,3722.19146827488,0,73.2926104169826
Year 1 Jan 06 3:00,3788.63760442186,0,73.2926104169826
Year 1 Jan 06 4:00,3857.63650665576,0,73.2926104169826
Year 1 Jan 06 5:00,5514.89851329582,0,73.2926104169826
Year 1 Jan 06 6:00,7710.98825171455,0,73.2926104169826
Year 1 Jan 06 7:00,7676.53495319073,0,418.078268258873
Year 1 Jan 06 8:00,6702.08870126085,0,2075.18969893181
Year 1 Jan 06 9:00,6047.93601046501,0,2227.08485999399
Year 1 Jan 06 10:00,2648.51394388699,0,1990.96902188795
Year 1 Jan 06 11:00,0,0,207.321231197771
Year 1 Jan 06 12:00,0,0,207.321231197771
Year 1 Jan 06 13:00,0,0,207.321231197771
Year 1 Jan 06 14:00,0,0,207.321231197771
Year 1 Jan 06 15:00,1930.04559365648,0,207.321231197771
Year 1 Jan 06 16:00,1778.3362097561,0,207.321231197771
Year 1 Jan 06 17:00,3131.82597005734,0,482.730580418671
Year 1 Jan 06 18:00,5056.42239508193,0,558.679766463855
Year 1 Jan 06 19:00,4897.48095099821,0,1007.48857692571
Year 1 Jan 06 20:00,4571.68528942681,0,2106.0735031692
Year 1 Jan 06 21:00,7699.70967101832,0,2182.02268921439
Year 1 Jan 06 22:00,7480.22921230729,0,2103.41656094939
Year 1 Jan 06 23:00,6199.2028747611,0,1677.06716828345
Year 1 Jan 07 0:00,3396.07169627061,0,189.450239483545
Year 1 Jan 07 1:00,3569.71734313635,0,73.2926104169826
Year 1 Jan 07 2:00,3629.38058785013,0,73.2926104169826
Year 1 Jan 07 3:00,3692.1105416216,0,73.2926104169826
Year 1 Jan 07 4:00,3761.6320379411,0,73.2926104169826
Year 1 Jan 07 5:00,5406.22490023285,0,73.2926104169826
Year 1 Jan 07 6:00,7584.08179893185,0,73.2926104169826
Year 1 Jan 07 7:00,7487.20682654511,0,429.874775032858
Year 1 Jan 07 8:00,6396.17339558084,0,1988.34660328931
Year 1 Jan 07 9:00,5704.02730429978,0,2335.23203585185
Year 1 Jan 07 10:00,2505.93572474902,0,2063.72717938151
Year 1 Jan 07 11:00,0,0,268.282881917347
Year 1 Jan 07 12:00,0,0,268.282881917347
Year 1 Jan 07 13:00,0,0,268.282881917347
Year 1 Jan 07 14:00,0,0,268.282881917347
Year 1 Jan 07 15:00,2455.14138729231,0,268.282881917347
Year 1 Jan 07 16:00,2318.06502717272,0,268.282881917347
Year 1 Jan 07 17:00,3442.14755314882,0,610.705825464329
Year 1 Jan 07 18:00,5139.45313616092,0,686.655011509517
Year 1 Jan 07 19:00,4894.20368220804,0,1031.08159047369
Year 1 Jan 07 20:00,4510.48834825328,0,2153.25902830749
Year 1 Jan 07 21:00,7606.46487311002,0,2229.20821435268
Year 1 Jan 07 22:00,7471.95658396511,0,2117.57226868664
Year 1 Jan 07 23:00,6271.85745700736,0,1632.39048398031
Year 1 Jan 08 0:00,3387.52271007194,0,149.24179646217
Year 1 Jan 08 1:00,3542.36228249761,0,73.2926104169826
Year 1 Jan 08 2:00,3594.17427747528,0,73.2926104169826
Year 1 Jan 08 3:00,3655.61753573454,0,73.2926104169826
Year 1 Jan 08 4:00,3728.646241,0,73.2926104169826
Year 1 Jan 08 5:00,5374.52698291258,0,73.2926104169826
Year 1 Jan 08 6:00,7556.43468921197,0,73.2926104169826
Year 1 Jan 08 7:00,7424.9038462358,0,429.874775032858
Year 1 Jan 08 8:00,6318.12094692034,0,1988.34660328931
Year 1 Jan 08 9:00,5674.44018480114,0,2335.23203585185
Year 1 Jan 08 10:00,2465.8266110414,0,2063.72717938151
Year 1 Jan 08 11:00,0,0,268.282881917347
Year 1 Jan 08 12:00,0,0,268.282881917347
Year 1 Jan 08 13:00,0,0,268.282881917347
Year 1 Jan 08 14:00,0,0,268.282881917347
Year 1 Jan 08 15:00,1949.41647182215,0,268.282881917347
Year 1 Jan 08 16:00,1865.76214377423,0,268.282881917347
Year 1 Jan 08 17:00,2973.57034325878,0,610.705825464329
Year 1 Jan 08 18:00,4732.31816074661,0,686.655011509517
Year 1 Jan 08 19:00,4616.31849667904,0,1031.08159047369
Year 1 Jan 08 20:00,4279.41945951736,0,2153.25902830749
Year 1 Jan 08 21:00,7072.9289249992,0,2229.20821435268
Year 1 Jan 08 22:00,6658.10341419529,0,2117.57226868664
