generation,n_feasible_history,n_front,hv,igd_plus,hv_improvement,hv_relative_improvement,igd_plus_improvement,igd_plus_relative_improvement
9,1,1,0.22834184494566576,0.5523785783857946,0.0,0.0,0.0,0.0
11,2,1,0.22834184494566576,0.5523785783857946,0.0,0.0,0.0,0.0
13,4,3,0.44571802853093195,0.39675049347171715,0.2173761835852662,0.951976995880852,0.15562808491407748,0.28174170940673776
14,7,5,0.4955188696655284,0.34785536399477107,0.04980084113459643,0.11173171814193365,0.048895129476946075,0.12323898843601974
18,8,5,0.4955188696655284,0.34785536399477107,0.0,0.0,0.0,0.0
19,11,5,0.5012616808660385,0.3436683714454785,0.005742811200510123,0.011589490435321825,0.004186992549292556,0.012036590441524699
20,12,4,0.5535139870294965,0.2626234184963806,0.052252306163457996,0.10424157313038726,0.08104495294909791,0.23582313556589637
21,13,4,0.5535139870294965,0.2626234184963806,0.0,0.0,0.0,0.0
22,14,4,0.6024409393605488,0.24781400299355813,0.048926952331052265,0.0883933441205795,0.01480941550282247,0.056390308174389135
23,17,4,0.6049258436977267,0.24781400299355813,0.0024849043371779622,0.004124726881635109,0.0,0.0
25,19,3,0.6699991760162786,0.19047337372136017,0.06507333231855184,0.10757241238162095,0.05734062927219796,0.23138575132773478
26,24,4,0.6712876239563651,0.19047337372136017,0.0012884479400865345,0.0019230589920236408,0.0,0.0
27,28,6,0.7657322551647909,0.16665060677843727,0.09444463120842583,0.14069175095437914,0.0238227669429229,0.12507137600120827
28,34,6,0.8009069588269855,0.11055163051099239,0.03517470366219455,0.04593603498474112,0.05609897626744488,0.33662629468867594
29,40,6,0.8009069588269855,0.11055163051099239,0.0,0.0,0.0,0.0
30,48,6,0.8009069588269855,0.11055163051099239,0.0,0.0,0.0,0.0
31,58,6,0.8878918777060445,0.08910487957988655,0.08698491887905901,0.10860801984597288,0.021446750931105832,0.19399759942005862
32,64,6,0.9217168778982363,0.056448101846333545,0.03382500019219181,0.03809585495880648,0.03265677773355301,0.36649819726510857
33,75,6,0.9217168778982363,0.056448101846333545,0.0,0.0,0.0,0.0
34,84,6,0.9217168778982363,0.056448101846333545,0.0,0.0,0.0,0.0
35,93,6,0.9263823266058496,0.0460301794166637,0.004665448707613318,0.005061693910012587,0.010417922429669844,0.1845575331838464
36,106,4,0.9461732933064865,0.02378260426953513,0.019790966700636847,0.02136371359020687,0.022247575147128572,0.48332584033062825
37,121,5,1.028075268211248,0.0028026147453809325,0.08190197490476148,0.08656128373540091,0.020979989524154197,0.8821569448989652
38,135,7,1.030930789338428,0.0,0.0028555211271801273,0.002777540920859286,0.0028026147453809325,1.0
39,146,7,1.030930789338428,0.0,0.0,0.0,0.0,0.0
40,154,7,1.030930789338428,0.0,0.0,0.0,0.0,0.0
