timestamp_hour_utc,representative_day_id,day_weight,it_load_kw,q_air_kw,q_cp_kw,q_rdhx_kw,s_air_kw,s_air_old_kw,s_air_new_kw,old_ac_capacity_eff_kw,q_air_to_ashp_kw,q_air_to_reject_kw,q_cp_to_wshp_kw,q_cp_to_free_kw,q_rdhx_to_wshp_kw,q_rdhx_to_chiller_kw,q_ashp_out_kw,p_ashp_kw,q_wshp_in_kw,q_wshp_out_kw,p_wshp_kw,q_chiller_evap_kw,p_chiller_kw,q_tower_kw,p_tower_kw,p_pump_kw,p_cdu_free_kw,p_terminal_kw,p_cooling_kw,p_grid_kw,q_heat_kw,q_tes_ch_kw,q_tes_dis_kw,e_tes_kwh,p_bess_ch_kw,p_bess_dis_kw,e_bess_kwh,max_theta_c,hotspot_slack_c,hotspot_penalty_yuan,bess_degradation_cost_yuan,power_balance_residual_kw,heat_balance_residual_kw
2025-01-15 00:00:00+00:00,0,71.0,2808.3800211662774,794.3180918071424,580.693368260727,1433.368561098407,794.3180918071424,124.44194559899599,669.8761462081465,739.7495764592554,629.2391476967927,165.07894411034977,580.693368260727,0.0,1433.368561098407,0.0,915.2569421044257,286.017794407633,2014.061929359134,2685.4159058121786,671.3539764530447,165.07894411034977,55.02631470344992,220.10525881379968,3.301578882206995,31.75448665880588,0.0,214.9969772085573,1262.4511283136978,4070.831149479974,3600.672847916604,0.0,0.0,0.0,0.0,0.0,679.1055951404247,23.790760397709388,0.0,0.0,0.0,-1.1368683772161603e-12,0.0
2025-01-15 01:00:00+00:00,0,71.0,2850.3519168317885,800.0706619882898,585.853879104602,1464.4273757388942,800.0706619882898,124.90841895811054,675.1622430301792,739.7495764592554,634.7668104033249,165.30385158496483,585.853879104602,0.0,1464.4273757388942,0.0,923.2971787684727,288.5303683651477,2050.2812548434963,2733.7083397913284,683.4270849478321,165.30385158496483,55.10128386165494,220.40513544661977,3.3060770316992962,32.219890130527006,0.0,217.08269994217392,1279.6674042790346,4130.019321110823,3657.005518559801,0.0,0.0,0.0,0.0,0.0,679.1055951404247,23.78752048367269,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 02:00:00+00:00,0,71.0,2878.6567769324,804.2069530330613,590.3251704744245,1484.1246534249142,804.2069530330613,125.90385923620475,678.3030937968565,739.7495764592554,638.3265885945284,165.88036443853287,590.3251704744245,0.0,1484.1246534249142,0.0,928.4750379556777,290.1484493611493,2074.4498238993388,2765.9330985324514,691.4832746331128,165.88036443853287,55.29345481284429,221.17381925137715,3.3176072887706574,32.55100164848187,0.0,218.54862940783426,1291.3424171521933,4967.711248347472,3694.408136488129,0.0,0.0,0.0,797.7120542628802,0.0,1435.8816976731844,23.785186999348547,0.0,0.0,0.0,-1.5916157281026244e-12,0.0
2025-01-15 03:00:00+00:00,0,71.0,2848.0398182076824,795.732714075688,582.8067347750949,1469.5003693568997,795.732714075688,124.74963152681912,670.9830825488689,739.7495764592554,630.6701696346777,165.06254444101035,582.8067347750949,0.0,1469.5003693568997,0.0,917.3384285595312,286.6682589248535,2052.3071041319945,2736.4094721759925,684.1023680439981,165.06254444101035,55.02084814700345,220.0833925880138,3.301250888820207,32.17920573682184,0.0,216.27485981577163,1277.5467915572688,4125.58660976495,3653.7479007355237,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.78445889091443,0.0,0.0,0.0,-1.5916157281026244e-12,0.0
2025-01-15 04:00:00+00:00,0,71.0,2876.2462463172383,804.8378798717783,588.6125888953525,1482.7957775501081,804.8378798717783,125.96848316364571,678.8693967081326,739.7495764592554,637.9413875492477,166.89649232253066,588.6125888953525,0.0,1482.7957775501081,0.0,927.9147455261784,289.97335797693074,2071.4083664454606,2761.877821927281,690.4694554818202,166.89649232253066,55.63216410751022,222.52865643004088,3.337929846450613,32.48633544236166,0.0,218.64480120996043,1290.5440440650339,4166.790290382272,3689.792567453459,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.78194848764164,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2025-01-15 05:00:00+00:00,0,71.0,2860.627209702743,799.3853101591322,585.2364959467563,1476.0054035968537,799.3853101591322,124.98691734049387,674.3983928186384,739.7495764592554,633.9222837095269,165.4630264496053,585.2364959467563,0.0,1476.0054035968537,0.0,922.0687763047665,288.1464925952395,2061.24189954361,2748.3225327248133,687.0806331812033,165.4630264496053,55.154342149868434,220.61736859947374,3.3092605289921058,32.31714891437123,0.0,217.24553561939285,1283.2534129890673,4143.880622691811,3670.39130902958,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.787253905015213,0.0,0.0,0.0,9.094947017729282e-13,0.0
2025-01-15 06:00:00+00:00,0,71.0,2891.20752532406,807.4097561059493,590.1484035334444,1493.6493656846662,807.4097561059492,126.30538563223993,681.1043704737093,739.7495764592554,639.5834306946542,167.8263254112951,590.1484035334444,0.0,1493.6493656846662,0.0,930.3031719194971,290.71974122484283,2083.7977692181107,2778.3970256241473,694.5992564060368,167.8263254112951,55.9421084704317,223.7684338817268,3.356526508225902,32.640945762849995,0.0,219.49971280539074,1296.7582911777781,4187.965816501838,3708.700197543644,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.785458104001275,0.0,0.0,0.0,0.0,0.0
2025-01-15 07:00:00+00:00,0,71.0,2991.1255254053904,847.9833318120143,623.9686956401623,1519.1734979532134,847.9833318120143,133.95226839995178,714.0310634120625,739.7495764592554,672.976652462669,175.0066793493453,623.9686956401623,0.0,1519.1734979532134,0.0,978.8751308547913,305.8984783921223,2143.142193593376,2857.5229247911675,714.3807311977919,175.0066793493453,58.335559783115094,233.34223913246038,3.5001335869869057,33.91079584873701,0.0,229.3081050628503,1345.3338038716033,4336.459329276993,3836.3980556459587,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.783815553889905,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 08:00:00+00:00,0,71.0,2944.9752679612047,840.5347151132515,619.3240103489879,1485.1165424989663,840.5347151132515,133.2481774595158,707.2865376537358,739.7495764592554,667.1456486540802,173.38906645917132,619.3240103489879,0.0,1485.1165424989663,0.0,970.3936707695713,303.248022115491,2104.440552847954,2805.9207371306056,701.4801842826514,173.38906645917132,57.79635548639044,231.18542194556176,3.4677813291834263,33.4308857354593,0.0,226.7752436001786,1326.198472549354,4271.173740510558,3776.314407900177,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.78936890321206,0.0,0.0,0.0,-9.094947017729282e-13,0.0
2025-01-15 09:00:00+00:00,0,71.0,2856.3171736067093,820.7773458828112,602.9775031782999,1432.5623245455977,820.7773458828112,129.6275608169783,691.1497850658329,739.7495764592554,651.3617197329606,169.4156261498506,602.9775031782999,0.0,1432.5623245455977,0.0,947.4352287024882,296.07350896952755,2035.5398277238976,2714.0531036318635,678.5132759079659,169.4156261498506,56.47187538328353,225.88750153313413,3.388312522997012,32.414948340804976,0.0,220.9474373495771,1287.8093584741562,4144.126532080864,3661.4883323343515,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.79339793067755,0.0,0.0,0.0,-1.1368683772161603e-12,0.0
2025-01-15 10:00:00+00:00,0,71.0,2920.5415446704137,834.7812916316135,611.791739987296,1473.9685130515024,834.7812916316135,131.94420644601792,702.8370851855956,739.7495764592554,662.0505378858363,172.73075374577718,611.791739987296,0.0,1473.9685130515024,0.0,962.9826005612165,300.9320626753801,2085.7602530387985,2781.013670718398,695.2534176795995,172.73075374577718,57.57691791525906,230.30767166103624,3.4546150749155435,33.09343733013391,0.0,225.17127708705638,1315.4817277623442,3822.8935626432235,3743.996271279614,0.0,0.0,0.0,0.0,413.1297097895351,1000.4047470000868,23.791288302292696,0.0,0.0,0.0,9.094947017729282e-13,0.0
2025-01-15 11:00:00+00:00,0,71.0,2884.3580135951543,826.3890165778719,604.3916626348266,1453.5773343824555,826.3890165778719,131.177673907265,695.2113426706069,739.7495764592554,654.1607521417956,172.2282644360763,604.3916626348266,0.0,1453.5773343824555,0.0,951.5065485698844,297.3457964280889,2057.968997017282,2743.9586626897094,685.9896656724273,172.2282644360763,57.4094214786921,229.6376859147684,3.444565288721526,32.667523222869356,0.0,222.78356581041533,1299.6405379012144,3386.2864972334883,3695.465211259594,0.0,0.0,0.0,0.0,797.7120542628802,159.54241085257604,23.792168500863202,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 12:00:00+00:00,0,71.0,2853.4237402053895,817.3068106074096,597.8971677412367,1438.2197618567452,817.3068106074096,129.76997776259824,687.5368328448113,739.7495764592554,647.1125066137254,170.19430399368423,597.8971677412367,0.0,1438.2197618567452,0.0,941.2545550745097,294.1420484607842,2036.1169295979819,2714.822572797309,678.7056431993273,170.19430399368423,56.73143466456141,226.92573865824565,3.4038860798736845,32.319112650804556,0.0,220.35566781977747,1285.6577928751285,4139.081533080518,3656.0771278718184,0.0,0.0,0.0,0.0,0.0,159.54241085257604,23.797115400158464,0.0,0.0,0.0,0.0,0.0
2025-01-15 13:00:00+00:00,0,71.0,2959.8028347531276,848.6692675566203,620.4371031831911,1490.696464013317,848.6692675566203,135.28279538721722,713.3864721694031,739.7495764592554,671.2953848916808,177.37388266493952,620.4371031831911,0.0,1490.696464013317,0.0,976.4296507515357,305.1342658598549,2111.133567196508,2814.8447562620104,703.7111890655026,177.37388266493952,59.12462755497984,236.49851021991935,3.5474776532987904,33.5200777356289,0.0,228.76362642833118,1333.8012642975964,4293.604099050724,3791.274407013546,0.0,0.0,0.0,0.0,0.0,159.54241085257604,23.78107303911401,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2025-01-15 14:00:00+00:00,0,71.0,2688.7827231125098,767.0616800846503,553.2506462581733,1368.470396769686,767.0616800846503,120.76434261216284,646.2973374724875,739.7495764592554,605.2263277233853,161.835352361265,553.2506462581733,0.0,1368.470396769686,0.0,880.3292039612878,275.1028762379024,1921.7210430278592,2562.2947240371454,640.5736810092864,161.835352361265,53.945117453754996,215.78046981501998,3.2367070472252997,30.282223355442056,0.0,207.22718520910644,1210.3677903127177,4446.818196998363,3442.6239279984334,0.0,0.0,0.0,547.6676835731369,0.0,679.1055951404247,23.805431468876595,0.0,0.0,0.0,-9.094947017729282e-13,0.0
2025-01-15 15:00:00+00:00,0,71.0,2904.154167839462,830.0857818559513,604.6281192336207,1469.4402667498905,830.0857818559513,132.49036668383164,697.5954151721196,739.7495764592554,655.0624696811221,175.02331217482913,604.6281192336207,0.0,1469.4402667498905,0.0,952.8181377179959,297.7556680368737,2074.0683859835112,2765.4245146446815,691.3561286611704,175.02331217482913,58.34110405827638,233.36441623310552,3.5004662434965828,32.83324624450753,0.0,224.05431200554824,1307.8409252498727,5009.707147352215,3718.2426523626773,0.0,0.0,0.0,797.7120542628802,0.0,1435.8816976731844,23.785442160399878,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2025-01-15 16:00:00+00:00,0,71.0,2899.9406730654787,828.8691163031172,603.2552736372307,1467.816283125131,828.8691163031172,132.65692724172763,696.2121890613895,739.7495764592554,653.5634839382184,175.30563236489877,603.2552736372307,0.0,1467.816283125131,0.0,950.6377948192268,297.07431088100833,2071.0715567623615,2761.4287423498154,690.3571855874538,175.30563236489877,58.43521078829959,233.74084315319837,3.5061126472979756,32.77582104036823,0.0,223.75581598427488,1305.904456928703,4205.845129994182,3712.066537169042,0.0,0.0,0.0,0.0,0.0,1435.8816976731844,23.78084207875533,0.0,0.0,0.0,0.0,0.0
