solution_id,rack_id,rack_label,room_id,row,col,plot_row,plot_col,ac_unit,config_id,config_name,rho_load,alpha_age,epsilon_age,hotspot_risk
3135,room01_rack_it_000,0,room01,2,21,2,21,room01_cdz5,4,cold_plate_cdu_wshp,0.10788511842472509,0.10051269763133117,0.10051269763133117,0.0115755627009646
3135,room01_rack_it_001,1,room01,2,20,2,20,room01_cdz5,4,cold_plate_cdu_wshp,0.1496750510993891,0.10051269763133117,0.10051269763133117,0.2179614296749559
3135,room01_rack_it_002,2,room01,2,19,2,19,room01_cdz5,4,cold_plate_cdu_wshp,0.08142094274563436,0.10051269763133117,0.10051269763133117,0.2365532648320021
3135,room01_rack_it_003,3,room01,2,18,2,18,room01_cdz5,4,cold_plate_cdu_wshp,0.19339175790543944,0.10051269763133117,0.10051269763133117,0.3016426149736237
3135,room01_rack_it_004,4,room01,2,17,2,17,room01_cdz5,4,cold_plate_cdu_wshp,0.07122240672719389,0.10051269763133117,0.10051269763133117,0.3523937721604044
3135,room01_rack_it_005,5,room01,2,16,2,16,room01_cdz5,4,cold_plate_cdu_wshp,0.21263353920179157,0.10051269763133117,0.10051269763133117,0.3857644304581489
3135,room01_rack_it_006,6,room01,2,15,2,15,room01_cdz5,4,cold_plate_cdu_wshp,0.2252401403555016,0.10051269763133117,0.10051269763133117,0.3719511069872022
3135,room01_rack_it_007,7,room01,2,14,2,14,room01_cdz5,4,cold_plate_cdu_wshp,0.23513605576887336,0.10051269763133117,0.10051269763133117,0.3809206887283984
3135,room01_rack_it_008,8,room01,2,13,2,13,room01_cdz5,4,cold_plate_cdu_wshp,0.07940419826416889,0.10051269763133117,0.10051269763133117,0.3765775232764533
3135,room01_rack_it_009,9,room01,2,12,2,12,room01_cdz5,4,cold_plate_cdu_wshp,0.13782314023149037,0.10051269763133117,0.10051269763133117,0.4990344193272917
3135,room01_rack_it_010,10,room01,2,11,2,11,room01_cdz5,4,cold_plate_cdu_wshp,0.17394376660197022,0.10051269763133117,0.10051269763133117,0.6930309378556903
3135,room01_rack_it_011,11,room01,2,10,2,10,room01_cdz5,4,cold_plate_cdu_wshp,0.2402975162706278,0.10051269763133117,0.10051269763133117,0.5559571765081216
3135,room01_rack_it_012,12,room01,2,9,2,9,room01_cdz5,4,cold_plate_cdu_wshp,0.17492588056655817,0.10051269763133117,0.10051269763133117,0.5362069537954202
3135,room01_rack_it_013,13,room01,2,8,2,8,room01_cdz5,4,cold_plate_cdu_wshp,0.09321110278191552,0.10051269763133117,0.10051269763133117,0.5085421030093904
3135,room01_rack_it_014,14,room01,2,7,2,7,room01_cdz5,4,cold_plate_cdu_wshp,0.09883751994075692,0.10051269763133117,0.10051269763133117,0.4531478019804122
3135,room01_rack_it_015,15,room01,2,6,2,6,room01_cdz5,4,cold_plate_cdu_wshp,0.24184904190526973,0.10051269763133117,0.10051269763133117,0.5590628935532207
3135,room01_rack_it_016,16,room01,2,5,2,5,room01_cdz5,4,cold_plate_cdu_wshp,0.061513447237102704,0.10051269763133117,0.10051269763133117,0.5880255761481263
3135,room01_rack_it_017,17,room01,2,4,2,4,room01_cdz6,1,new_ac,0.22686187711339822,0.16544470288113308,0.16544470288113308,0.7906606617874306
3135,room01_rack_it_018,18,room01,6,20,6,20,room01_cdz1,3,new_ac_high_efficiency,0.14106576785637504,0.24398784644278437,0.24398784644278437,0.2450543085088081
3135,room01_rack_it_019,19,room01,6,19,6,19,room01_cdz1,3,new_ac_high_efficiency,0.08994499619169959,0.24398784644278437,0.24398784644278437,0.2810534486215867
3135,room01_rack_it_020,20,room01,6,18,6,18,room01_cdz1,3,new_ac_high_efficiency,0.22751813276464705,0.24398784644278437,0.24398784644278437,0.2898612400925087
3135,room01_rack_it_021,21,room01,6,17,6,17,room01_cdz1,3,new_ac_high_efficiency,0.17747765640110746,0.24398784644278437,0.24398784644278437,0.2221996510712005
3135,room01_rack_it_022,22,room01,6,16,6,16,room01_cdz1,3,new_ac_high_efficiency,0.09980531823131569,0.24398784644278437,0.24398784644278437,0.2365022420862125
3135,room01_rack_it_023,23,room01,6,15,6,15,room01_cdz1,3,new_ac_high_efficiency,0.12886342561387815,0.24398784644278437,0.24398784644278437,0.3565982168125001
3135,room01_rack_it_024,24,room01,6,14,6,14,room01_cdz1,3,new_ac_high_efficiency,0.21691842559509028,0.24398784644278437,0.24398784644278437,0.3895677234061031
3135,room01_rack_it_025,25,room01,6,12,6,12,room01_cdz2,4,cold_plate_cdu_wshp,0.1468455695406099,0.20821295979676024,0.20821295979676024,0.4485240300183728
3135,room01_rack_it_026,26,room01,6,11,6,11,room01_cdz2,4,cold_plate_cdu_wshp,0.2207306782746919,0.20821295979676024,0.20821295979676024,0.4847064346184782
3135,room01_rack_it_027,27,room01,6,10,6,10,room01_cdz2,4,cold_plate_cdu_wshp,0.08644608866881809,0.20821295979676024,0.20821295979676024,0.4680341227527849
3135,room01_rack_it_028,28,room01,6,9,6,9,room01_cdz2,4,cold_plate_cdu_wshp,0.13481706920578418,0.20821295979676024,0.20821295979676024,0.3953218832822555
3135,room01_rack_it_029,29,room01,6,7,6,7,room01_cdz3,3,new_ac_high_efficiency,0.0742422612160994,0.24108770687715564,0.24108770687715564,0.3817397314631037
3135,room01_rack_it_030,30,room01,6,6,6,6,room01_cdz3,3,new_ac_high_efficiency,0.1728921405687625,0.24108770687715564,0.24108770687715564,0.4185549507016776
3135,room01_rack_it_031,31,room01,6,5,6,5,room01_cdz3,3,new_ac_high_efficiency,0.14419300910857147,0.24108770687715564,0.24108770687715564,0.436148164161136
3135,room01_rack_it_032,32,room01,6,4,6,4,room01_cdz4,5,rdhx_wshp,0.0607471744403445,0.19640484357262555,0.19640484357262555,0.2647939343541334
3135,room01_rack_it_033,33,room01,10,20,10,20,room01_cdz1,3,new_ac_high_efficiency,0.17764190592468826,0.24398784644278437,0.24398784644278437,0.2732277592632678
3135,room01_rack_it_034,34,room01,10,19,10,19,room01_cdz1,3,new_ac_high_efficiency,0.12051865281660444,0.24398784644278437,0.24398784644278437,0.314627970051962
3135,room01_rack_it_035,35,room01,10,18,10,18,room01_cdz1,3,new_ac_high_efficiency,0.1921736617227746,0.24398784644278437,0.24398784644278437,0.3345744887835931
3135,room01_rack_it_036,36,room01,10,17,10,17,room01_cdz1,3,new_ac_high_efficiency,0.21302857140661752,0.24398784644278437,0.24398784644278437,0.3055446481639771
3135,room01_rack_it_037,37,room01,10,16,10,16,room01_cdz1,3,new_ac_high_efficiency,0.16003357330011275,0.24398784644278437,0.24398784644278437,0.2832597476682479
3135,room01_rack_it_038,38,room01,10,15,10,15,room01_cdz1,3,new_ac_high_efficiency,0.13971234226531692,0.24398784644278437,0.24398784644278437,0.2665072970729072
