timestamp_hour_utc,q_air_kw,q_vent_kw,q_rdhx_kw,q_cdu_kw,q_rdhx_to_wshp_kw,q_rdhx_to_chiller_kw,q_cdu_to_wshp_kw,q_cdu_to_free_kw,q_chiller_evap_kw,p_chiller_kw,p_tower_kw,p_wshp_kw,p_grid_kw,q_heat_kw,day_weight
2025-03-21 04:00:00+00:00,0.0,588.3298333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 05:00:00+00:00,0.0,654.3160390036717,0.0,246.14773877410607,0.0,0.0,0.0,246.14773877410607,0.0,0.0,3.692216081611591,0.0,8.615170857093712,0.0,21.0
2025-03-21 06:00:00+00:00,0.0,654.3160390036717,0.0,51.72555316804551,0.0,0.0,0.0,51.72555316804551,0.0,0.0,0.7758832975206826,0.0,1.810394360881593,0.0,21.0
2025-03-21 07:00:00+00:00,0.0,479.84220580808073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 08:00:00+00:00,0.0,475.1079979203803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 09:00:00+00:00,0.0,476.9575555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 10:00:00+00:00,0.0,497.55061111111115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 11:00:00+00:00,0.0,483.2366805555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 12:00:00+00:00,0.0,512.4991597222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 13:00:00+00:00,0.0,498.6522272897897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 14:00:00+00:00,0.0,488.3239145092108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 15:00:00+00:00,0.0,481.01074166111675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 16:00:00+00:00,0.0,471.4551557440516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 17:00:00+00:00,0.0,506.3876581196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 18:00:00+00:00,0.0,654.3160390036717,0.0,6.927714964582265,0.0,0.0,0.0,6.927714964582265,0.0,0.0,0.10391572446873397,0.0,0.24247002376037924,0.0,21.0
2025-03-21 19:00:00+00:00,0.0,654.3160390036717,0.0,6.672911393153754,0.0,0.0,0.0,6.672911393153754,0.0,0.0,0.10009367089730631,0.0,0.2335518987603814,0.0,21.0
2025-03-21 20:00:00+00:00,0.0,575.8912777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-03-21 21:00:00+00:00,0.0,654.3160390036717,0.0,193.7430721074394,0.0,0.0,0.0,193.7430721074394,0.0,0.0,2.906146081611591,0.0,6.781007523760379,0.0,21.0
2025-03-21 22:00:00+00:00,0.0,654.3160390036717,0.0,131.0845721074395,0.0,0.0,0.0,131.0845721074395,0.0,0.0,1.9662685816115923,0.0,4.587960023760383,0.0,21.0
2025-03-21 23:00:00+00:00,0.0,617.5177777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2025-04-12 00:00:00+00:00,0.0,595.6929484236589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 01:00:00+00:00,0.0,591.338061868687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 02:00:00+00:00,0.0,585.7620702372564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 03:00:00+00:00,0.0,590.0336500469814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 04:00:00+00:00,0.0,599.0596209394611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 05:00:00+00:00,0.0,598.7374468522434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 06:00:00+00:00,0.0,588.9834368393235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 07:00:00+00:00,0.0,591.525695648344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 08:00:00+00:00,0.0,582.5819444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 09:00:00+00:00,0.0,568.6415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 10:00:00+00:00,0.0,564.2147222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 11:00:00+00:00,0.0,581.3411111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 12:00:00+00:00,0.0,565.8996666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 13:00:00+00:00,0.0,565.6102777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 14:00:00+00:00,0.0,579.3450555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 15:00:00+00:00,0.0,589.3056111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 16:00:00+00:00,0.0,579.0735555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 17:00:00+00:00,0.0,579.2900555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 18:00:00+00:00,0.0,590.6072777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 19:00:00+00:00,0.0,580.5663888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 20:00:00+00:00,0.0,571.5785555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 21:00:00+00:00,0.0,569.4257222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 22:00:00+00:00,0.0,572.0856666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-04-12 23:00:00+00:00,0.0,584.3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2025-06-08 00:00:00+00:00,0.0,503.21705317779566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 01:00:00+00:00,0.0,508.7024978642294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 02:00:00+00:00,0.0,518.3551803462401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 03:00:00+00:00,0.0,525.6835253661667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 04:00:00+00:00,0.0,534.9287666680926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 05:00:00+00:00,0.0,540.3977219019893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 06:00:00+00:00,0.0,541.2056753058482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 07:00:00+00:00,0.0,553.7045480019286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 08:00:00+00:00,0.0,547.4462677302226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 09:00:00+00:00,0.0,540.5846436304136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 10:00:00+00:00,0.0,566.867660281659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 11:00:00+00:00,0.0,564.5305113675216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 12:00:00+00:00,0.0,540.3642869508682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2025-06-08 13:00:00+00:00,0.0,527.9804533885499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
